ANIO_VIAJE,MES_VIAJE,LOCATION_ID_SALIDA,ZONE_SALIDA,LOCATION_ID_LLEGADA,ZONE_LLEGADA,Borough_SALIDA,Borough_LLEGADA,TOTAL_VIAJES,TRIP_DISTANCE,TOTAL_TARIFA
2011,1,114,Greenwich Village South,90,Flatiron,Manhattan,Manhattan,6456,8449.109999999973,39172.40000000011
2011,1,13,Battery Park City,48,Clinton East,Manhattan,Manhattan,2185,9077.16000000001,28706.90000000003
2011,1,75,East Harlem South,48,Clinton East,Manhattan,Manhattan,1354,5031.399999999997,16989.399999999987
2011,1,24,Bloomingdale,79,East Village,Manhattan,Manhattan,275,1879.8499999999979,5457.100000000001
2011,1,45,Chinatown,4,Alphabet City,Manhattan,Manhattan,415,770.5100000000002,3384.6999999999994
2011,1,7,Astoria,127,Inwood,Queens,Manhattan,32,323.78000000000003,805.6
2011,1,125,Hudson Sq,43,Central Park,Manhattan,Manhattan,352,1536.4400000000003,4902.4000000000015
2011,1,114,Greenwich Village South,28,Briarwood/Jamaica Hills,Manhattan,Queens,34,448.6800000000002,1047.8000000000002
2011,1,25,Boerum Hill,82,Elmhurst,Brooklyn,Queens,37,323.69999999999993,817.2999999999997
2011,1,88,Financial District South,12,Battery Park,Manhattan,Manhattan,45,51.879999999999995,309.79999999999995
2011,1,43,Central Park,35,Brownsville,Manhattan,Brooklyn,2,31.259999999999998,78.6
2011,1,13,Battery Park City,94,Fordham South,Manhattan,Bronx,7,104.14999999999999,238.29999999999995
2011,1,28,Briarwood/Jamaica Hills,12,Battery Park,Queens,Manhattan,1,6.1,17.3
2011,1,33,Brooklyn Heights,39,Canarsie,Brooklyn,Brooklyn,6,58.52,162.2
2011,1,116,Hamilton Heights,63,Cypress Hills,Manhattan,Brooklyn,1,20.0,46.1
2011,1,112,Greenpoint,10,Baisley Park,Brooklyn,Queens,3,37.06,83.9
2011,1,113,Greenwich Village North,47,Claremont/Bathgate,Manhattan,Bronx,4,39.05,99.6
2011,1,83,Elmhurst/Maspeth,112,Greenpoint,Queens,Brooklyn,9,41.8,120.5
2011,1,24,Bloomingdale,36,Bushwick North,Manhattan,Brooklyn,4,50.22,134.0
2011,1,116,Hamilton Heights,98,Fresh Meadows,Manhattan,Queens,1,17.12,46.5
2011,1,26,Borough Park,90,Flatiron,Brooklyn,Manhattan,1,9.3,22.5
2011,1,68,East Chelsea,41,Central Harlem,Manhattan,Manhattan,881,4874.699999999994,13931.700000000013
2011,1,112,Greenpoint,106,Gowanus,Brooklyn,Brooklyn,37,247.03000000000003,648.1000000000001
2011,1,48,Clinton East,4,Alphabet City,Manhattan,Manhattan,1008,3771.480000000003,13229.60000000001
2011,1,112,Greenpoint,114,Greenwich Village South,Brooklyn,Manhattan,85,368.38,1165.2999999999995
2011,1,41,Central Harlem,90,Flatiron,Manhattan,Manhattan,161,880.6999999999997,2659.699999999999
2011,1,68,East Chelsea,97,Fort Greene,Manhattan,Brooklyn,366,1987.8099999999977,6199.300000000006
2011,1,82,Elmhurst,16,Bayside,Queens,Queens,3,31.699999999999996,76.3
2011,1,50,Clinton West,51,Co-Op City,Manhattan,Bronx,6,85.35,221.79999999999998
2011,1,79,East Village,76,East New York,Manhattan,Brooklyn,22,233.47,618.1999999999999
